citta,nome,email,indirizzo,telefono,sito,amenity,cuisine
bologna,Doppio Malto,bologna@doppiomalto.com,"Via Stalingrado 42, 40128 Bologna",+39 051 089 0155,https://www.doppiomalto.com/it/ristoranti/bologna/,restaurant,burger;italian;steak_house
bologna,Eataly Bologna,eatalybologna@eataly.it,"Via degli Orefici 19, 40126 Bologna",+39 051 0952820,https://www.eataly.net/eu_it/negozi/bologna,restaurant,italian
bologna,Fattoria Corte Roeli,info@fattoriacorteroeli.it,"Via Nazionale 387, 40051 Malalbergo",+39 051 871687,https://fattoriacorteroeli.it/,restaurant,regional
bologna,Feel Sushi,info@feelsushi.it,"Via Montanara 50,  Bologna",+39 331 892 7688,https://feelsushi.it/,restaurant,asian;sushi
bologna,Fiskebar - Linea 22,info@fiskebarlinea22.it,"Via Papa Onorio secondo 34, 40026 Imola",+39 331 426 1425,https://fiskebarlinea22.it/,restaurant,fish
bologna,Focillo,info@focillo.it,Bologna,+39 392 8024533,https://focillo.it/,bar,
bologna,Foglia D'oro,fogliadoro1987@gmail.com,"Via Porrettana Nord 1a, 40043 Marzabotto",+39 051 932343,https://www.pasticceriafogliadoro.com/,bar,breakfast;coffee_shop
bologna,Forchetta&Cuciglio,info@forchettaecuciglio.it,"Via Aristotile Fioravanti 31c, 40129 Bologna",+39 051 484 7727,http://www.forchettaecuciglio.it/,restaurant,fish;seafood
bologna,Genki Sushi,genkisushi88@gmail.com,"Via Trattati Comunitari Europei 1957-2007 20,  Bologna",+39 051 6335096,https://www.genkisushibologna.it/,restaurant,sushi
bologna,Gusto Chengdu,gustochengdu@gmail.com,"Via dei Giudei 6f, 40126 Bologna",+39 0510560510,https://gustochengdu.com/,restaurant,chinese
bologna,Hao Wei,info@ristorantehaowei.it,"Via Giovanni Casoni 2,  Bologna",+39 051 357 359,https://www.ristorantehaowei.it/,restaurant,chinese
bologna,IKO Japanese Restaurant,ikosushi.srl@gmail.com,"Via Stalingrado 71, 40121 Bologna",+39 051 631 3605,https://www.ikosushibologna.it/,restaurant,sushi
bologna,Il Casale,ilcasalebo@gmail.com,"Via Caselle 86, 40068 San Lazzaro di Savena",+39 051 465099,https://www.ristoranteilcasalebologna.com/,restaurant,pizza;italian
bologna,Il Graffio,info@pizzeriailgraffio.com,"Via Ferdinando Magellano 18, 40017 San Giovanni in Persiceto",+39 051 826739,https://www.pizzeriailgraffio.com/,restaurant,italian;pizza
bologna,Il Ristorantino da Dino,info@ristorantinodadino.it,"Via Venticinque Aprile 11, 40011 Anzola dell'Emilia",+39 051732364,https://www.ristorantinodadino.it/,restaurant,italian
bologna,La Baracca,labaraccadizola@gmail.com,"Via Risorgimento 374, 40069 Zola Predosa",+39 051756552,https://www.labaracca.info/,restaurant,italian
bologna,La Cantina dei Sapori,info@lacantinadeisapori.it,"Via San Martino 26/2, 40050 Monte San Pietro",+39 051 6766263,https://www.lacantinadeisapori.it/,restaurant,regional
bologna,La Prosciutteria,bologna@laprosciutteria.com,"Via Guglielmo Oberdan 19a,  Bologna",+39 051 045 3717,https://www.laprosciutteria.com/ristorante-bologna-oberdan/,bar,
bologna,La scuderia,info@lascuderiadozza.it,"Via Venti Settembre 53, 40060 Dozza",+39 0542 678103,https://lascuderiadozza.it/,restaurant,regional;italian;pasta
bologna,La Spiaggetta,spiaggetta@gmail.com,"Via Ca' Soprani 87B, 40032 Camugnano",+39  348 406 0543,https://www.spiaggetta.it/,restaurant,
bologna,La Spigolatrice,info@laspigolatrice.com,"Via Altedo 1991, 40018 San Pietro in Casale",+39 051 811656,http://www.laspigolatrice.com/,restaurant,pizza;italian
bologna,LAB,lab0542social@gmail.com,"Via Gennevilliers 4, 40026 Imola",,https://www.cacoevents.com/it/locali/lab0542.html,bar,
bologna,Le Loverie,leloverie@libero.it,"Via Gaetano Pollastri 6, 40068 San Lazzaro di Savena",+39 342 180 5471,https://www.leloverie.com/,restaurant,
bologna,Le Moline,booking@lemoline.it,"Via delle Moline 2f, 40126 Bologna",+39 051 316 9389,https://www.lemoline.it/,restaurant,regional;italian;coffee_shop
bologna,Le Stanze,info@lestanzecafe.it,"Via del Borgo di San Pietro 1a, 40126 Bologna",+39051228767,http://www.lestanzecafe.it/,bar,
bologna,Locanda Salus,info@saluspace.eu,"Via Malvezza 2/2, 40139 Bologna",+393347053430,https://saluspace.eu/locanda/,restaurant,arab
bologna,MBL Lounge,marconilounge@bologna-airport.it,"Via del Triumvirato 84, 40132 Bologna",+39 0516479616,https://www.bologna-airport.it/it/viaggiare/servizi-e-shopping-in-aeroporto/vip-lounge-e-area-meeting/mbl-lounge-e-fast-track.aspx?idC=61768&LN=it-IT,bar,sandwich;coffee_shop
bologna,Mezcal,info@mezcalimola.it,"Piazza Antonio Gramsci 13, 40026 Imola",+39 0542 27320,http://www.mezcalimola.it/,restaurant,mexican
bologna,Noi,noi@cantinabentivoglio.it,"Via San Gervasio 3, 40121 Bologna",+39 051 235214,https://noi.cantinabentivoglio.it/,restaurant,regional
bologna,Nu-Lounge,info@nu-lounge.com,"Via de' Musei 6, 40124 Bologna",+39 051222532,http://www.nu-lounge.com,bar,
bologna,Osteria da Cesare,info@osteriadacesare.it,"Via Giuseppe Tanari 5418,  Bologna",+39 051 941202,https://www.osteriadacesare.it/ristorante-osteria-cucina-emiliana.html,restaurant,
bologna,Osteria del Cappello,osteriadelcappello@gmail.com,"Via De' Fusari 9b, 40123 Bologna",+39 051 1998 6887,https://www.osteriadelcappello.com/,restaurant,
bologna,Osteria del Vicolo Nuovo,info@vicolonuovo.it,"Piazza Giovanni Codronchi Argeli 6, 40026 Imola",+39 0542 32552,https://www.vicolonuovo.it/,restaurant,slow_food;regional;italian
bologna,Osteria della Pieve,info@osteriadellapieve.it,Bologna,,https://osteriadellapieve.it/,restaurant,italian
bologna,Osteria San Pietro,info@osteriasanpietro.it,"Via San Pietro 35, 40064 Bologna",+39 051 796003,https://www.osteriasanpietro.it/,restaurant,local;buschenschank;diner;regional;italian
bologna,Pa' Malù,online@pamaluimola.it,"Via Emilia 358, 40026 Imola",+39 0542 188 8806,https://pamaluimola.it/,restaurant,latin_american;tacos;tapas;mexican;peruvian;colombian
bologna,Pasticceria Simiani,info@pasticceriasimiani.it,"Via Sant'Isaia 3/2a, 40123 Bologna",+39 051 333464,https://pasticceriasimiani.it/,cafe,
bologna,Pinterré,ristorantepinterre@gmail.com,"Via Giuseppe Mazzini 170, 40139 Bologna",+39 051 302661,https://www.pizzeriaristorantepinterre.com/,restaurant,italian;pizza
bologna,Pizzeria Il Sellaio,ilsellaio@icloud.com,"Via San Donato 31, 40127 Bologna",+39 051 241309,https://www.pizzeriailsellaio.com/,restaurant,pizza
bologna,Polpette e Crescentine,polpette@polpetteecrescentine.com,"Via dei Fornaciai 9/3, 40129 Bologna",+39 051 418 0424,https://www.polpetteecrescentine.com/,restaurant,
bologna,Primo Piano,primopianoimola@gmail.com,"Via Emilia 31, 40026 Imola",+393454500135,https://loungebarprimopianoimola.eatbu.com/,restaurant,
bologna,Principe Bologna Lievito e Cucina,lievitoecucina@outlook.it,"Via Giuseppe Mezzofanti 18, 40137 Bologna",+39 051 346322,https://www.principebologna.it/,cafe,
bologna,Ristorante al Sole,ciak994@gmail.com,"Via Giacomo Matteotti 42, 40018 San Pietro in Casale",+39 051 810881,https://www.tripadvisor.it/Restaurant_Review-g970315-d6939682-Reviews-Ristorante_Al_Sole-San_Pietro_in_Casale_Province_of_Bologna_Emilia_Romagna.html,restaurant,chinese
bologna,Ristorante Albergo da Fedora,info@albergosterlina.com,"Via Nazionale Nord 16, 40035 Bologna",+39 0534897141,http://www.albergosterlina.com,restaurant,italian
bologna,Ristorante Caffetteria Krisstal 19,info@krisstal.net,"Piazza Liber Paradisus 1,  Bologna",+39 051 353692,https://krisstal.net/,restaurant,
bologna,Ristorante Da Taiadela,info@dataiadela.it,"Via Filippo Turati 1, 40019 Sant'Agata Bolognese",+39051956680,https://www.dataiadela.it,restaurant,
bologna,Ristorante Il Giardino,info@ristorantegiardino.net,Bologna,+39 051 801128,https://www.ristoranteilgiardinobudrio.com/,restaurant,
bologna,Ristorante Marconi,info@ristorantemarconi.it,"Via Porrettana 291, 40037 Sasso Marconi",+39 051 846216,https://www.ristorantemarconi.it/index.html,restaurant,italian
bologna,Ristorante Rodrigo,info@ristoranterodrigo.com,"Via della Zecca 2H, 40121 Bologna",+39 051 235 536,https://ristoranterodrigobologna.it,restaurant,
bologna,Ristorante Senafe,ristorantesenafe@gmail.com,"Via Nicolò dall'Arca 42a, 40129 Bologna",+39 051 459 9558,https://ristorantesenafe.it/,restaurant,african
bologna,Ristorante Singapore,info@ristorantesingapore.com,"Piazza dell'Unità 9d, 40128 Bologna",+39 051 361 825,https://www.ristorantesingapore.com/,restaurant,chinese
bologna,Taverna San Pietro,tavernasanpietro@outlook.it,Bologna,+39 388 4043367,https://tavernasanpietro.com/,restaurant,italian
bologna,Tenuta Poggio Pollino,info@poggiopollino.it,"Via di Monte Meldola 2t, 40026 Imola",,https://poggiopollino.it/,restaurant,regional;italian
bologna,Trattoria Castellinaria,info@trattosteriacastellinaria.it,Bologna,+39 051 590873,http://www.trattosteriacastellinaria.it/,restaurant,
bologna,Trattoria La Scuderia,trattoria@allascuderia.it,"Via San Pierino 48, 40013 Castel Maggiore",+39 051 713302,https://allascuderia.it/,restaurant,
bologna,Trattoria Meloncello,meloncello@hotmail.it,"Via Saragozza 240a, 40134 Bologna",+39 051 6143947,http://www.trattoriameloncello.it,restaurant,regional
bologna,Trattoria Piazzetta,info@lapiazzettasgp.com,"Via Betlemme 31, 40017 San Giovanni in Persiceto",+39 051 998 2416,https://www.trattoriapiazzetta.it/,restaurant,regional
bologna,Trattoria Rivabella al Parco Verde,rivabellaparcoverde@gmail.com,"Via boschi 19, 40037 Calderino",+39 051 758150,https://www.trattoriarivabella.it/,restaurant,local;regional;italian;mediterranean
bologna,Vâgh iń Ufézzi,info@vaghinufezzi.it,"Via de' Coltelli 9,  Bologna",+39 051 296 1446,https://www.vaghinufezzi.it/,restaurant,italian
bologna,Yuzuya,yuzu@yuzuya.it,"Via Nicolò dall'Arca 1i, 40129 Bologna",+39 051 041 5021,https://www.yuzuya.it/,restaurant,japanese
bologna,Ambasciata Salentina,gigliolastanelli@alice.it,Bologna,+39 051 401205,,restaurant,salentina
bologna,Antica Trattoria - Il Ristorone,trattoria.ristorone@gmail.com,Bologna,+39 051 6052166,,restaurant,
bologna,Bar Roma Bistrot,barroma@gmail.com,"Via Emilia 137, 40026 Imola",,,bar,
bologna,Brio Ristorante,briobologna@hotmail.it,"Via Caduti della Via Fani 15a, 40127 Bologna",+39 051 7166953,,restaurant,
bologna,Casa Vallona,info@casavallona.com,"Via Enrico De Nicola 10,  Monte San Pietro",+39 346 271 1243,,restaurant,italian
bologna,Cibò,info@cibo.bo.it,"Via Porrettana 275, 40011 Casalecchio di Reno",+39 051 6130200,,bar,
bologna,Da Brega,cris.brega@libero.it,"Via Monte La Pieve 2, 40025 Fontanelice",+39 0542 92592,,restaurant,regional
bologna,Dandy caffè letterario,dandycaffeletterario2.0@gmail.com,"Via della Grada 4e, 40122 Bologna",+39 349 350 0495,,cafe,coffee_shop
bologna,Grani Antichi,graniantichi2022@gmail.com,"Viale Francesco Domenico Guerrazzi 21b,  Bologna",+39 0542 24223,,restaurant,pizza;fries;friture
bologna,Ippocampus Rist,ristoranteippocampus@gmail.com,Bologna,+39 051 946831,,restaurant,italian;mushroom;truffle
bologna,Irnerio 10,irnerio10@grupposalutepiu.it,"Via Irnerio 10d, 40126 Bologna",+39 331 808 9715,,restaurant,regional;italian
bologna,NoveCinqueSeiNove,novecinqueseinove@gmail.com,"Via Massimo Villa 24c, 40026 Imola",+39 324 0933862,,restaurant,piadina;pasta;regional
bologna,Osteria dei Sani,osteria.dei.sani.le.cere@alice.it,"Via Porrettana 324, 40037 Sasso Marconi",+39 051 6751866,,restaurant,regional
bologna,Osteria delle Donzelle,osteriadelledonzelle@gmail.com,"Via delle Donzelle 4/3, 40126 Bologna",+39 051 264525,,restaurant,regional
bologna,Pastis,pastis.belvedere@gmail.com,"Via Belvedere 7, 40121 Bologna",+39 051 230650,,bar,
bologna,Pizza a Casa di Farouk,pizzaacasasnc@gmail.com,"Via Selice 107, 40026 Imola",+39 0542 33310,,restaurant,pizza;kebab
bologna,Saragozza157,saragozza157@hotmail.com,"Via Saragozza 157a,  Bologna",+39 051 6142092,,cafe,
bologna,Snoopy,giuseppesnoopy74@gmail.com,"Via Ferrarese 113d, 40128 Bologna",+39 3487096651,,restaurant,
bologna,UNO Caffé Olistico,unocaffeolistico@gmail.com,"Via Guglielmo Oberdan 27, 40126 Bologna",+39 051 039 4378,,restaurant,regional;italian
bologna,Vecchia Osteria di Ponzano,luisabartolini27@outlook.it,"4818, 40053 Bologna",+39 340 0039166,,restaurant,italian
bologna,Vittoria Pasticceria Modicana,info@pasticceriavittoria.com,"Strada Maggiore 32,  Bologna",+39 339 794 9106,,cafe,
firenze,#RAW,rawveganfirenze@gmail.com,"Via Sant'Agostino 11r, 50125 Firenze",+39 055 7091328,https://rawveganfirenze.com,restaurant,pizza;burger;smoothie
firenze,A Crudo,info@acrudo.it,"Via Mazzetta 5r,  Firenze",+390552657483,https://www.acrudo.it/home,restaurant,italian;regional
firenze,Agriturimo La Burra Di Vinci,info@allaburra.com,"Via Orbignanese 15, 50059 Vinci",+39 0571 909042,https://www.allaburra.com,restaurant,
firenze,Agriturismo Al Volo del Nibbio,bettina@agrivonibbio.it,Firenze,,https://www.agrivonibbio.it/,restaurant,
firenze,Alimentari Uffizi,alimentariuffizi@gmail.com,"Via Lambertesca 10r, 50100 Firenze",+39055281089,http://facebook.com/alimentari.uffizi,cafe,italian;mediterranean
firenze,Amici di Ponte Vecchio Da Stefano,stefano.masini@live.it,"Via dei Bardi 52r, 50125 Firenze",+39 055285301,https://www.amicidipontevecchio.it,restaurant,italian_pizza;mediterranean
firenze,Antico Bar Ginori,ristorante.pizzeria.ginori@gmail.com,"Via dei Ginori 11r, 50123 Firenze",,https://www.ristoranteginori.com,restaurant,regional
firenze,Ararat,firenze@araratrestaurant.it,Firenze,+39 3755721739,https://www.araratrestaurant.it/,restaurant,asian;armenian
firenze,Bar carletti,irina.consuma@yahoo.it,"Via Casentinese 331, 50060 Firenze",+39 346 7916151,http://affitticonsuma.it,bar,pasta;sandwich;italian;breakfast;italian_pizza
firenze,Bio & Brado,fattoriadicolline@gmail.com,"Via Colline 2/2, 50023 Impruneta",+39 342 192 3194,https://bio-brado.business.site/?utm_source=gmb&utm_medium=referral%20https://bioebrado.superbexperience.com/,restaurant,
firenze,Bistrot al 5,info@bistrotal5.com,Firenze,+39 055 59250,https://bistrotal5.com,restaurant,italian;local
firenze,Borderline,borderlinefirenze@gmail.com,"Corso Italia 35, 50123 Firenze",+39 055 288771,https://ristoranteborderline.it/firenze,restaurant,regional
firenze,Borgo Antico,prenotazioni@borgoanticofirenze.com,"Piazza di Santo Spirito 6 R, 50125 Firenze",+39 055 210437,https://www.borgoanticofirenze.com/,restaurant,italian
firenze,Borgovino,info@borgovino.com,"Via Borgo San Lorenzo ,  Firenze",+39 0552398557,http://www.vorgovino.com,restaurant,
firenze,Buca Niccolini,info@bucaniccolini.it,"Via Ricasoli 5 R,  Firenze",+39 055 292124,https://www.bucaniccolini.it/,restaurant,italian;pizza
firenze,Caffè Centofiori,caffe100fiori@gmail.com,"Viale Cento Fiori 39, 50056 Montelupo Fiorentino",+39 055 1170 0485; +39 347 951 8483,https://www.pasticceriacentofiori.it/,bar,breakfast;cake;coffee_shop
firenze,Caffè Gilli,welcome@caffegilli.com,"Via Roma 1r, 50123 Firenze",+39 055 213896,https://www.caffegilli.com/,cafe,coffee_shop;dessert
firenze,Carnam Ciccia Club,info@carnam.it,"Via Pier Paolo Pasolini 30,  Campi Bisenzio",+39 378 305 3350,https://www.carnam.it/,restaurant,regional
firenze,Chalet Raticosa,chaleteloise@gmail.com,"Via Pietramala Scala 2230, 50033 Firenze",+39 055 810 1342,https://facebook.com/chaletraticosa/,restaurant,coffee_shop;ice_cream;sandwich
firenze,da Que' Ganzi,info@daqueiganzi.it,"Via Ghibellina 70r, 50122 Firenze",+39 055 2260010,https://www.daqueiganzi.it/,restaurant,regional
firenze,Dim Sum Restaurant,info@dimsumrestaurant.it,"Via Antonio Magliabechi 9 R, 50122 Firenze",+39 055 284331,https://www.dimsumrestaurant.it/,restaurant,noodle
firenze,Dispensa verace,dispensaverace@gmail.com,"Via Enrico Forlanini 1/13, 50127 Firenze",+390552694677,https://dispensaverace.com,restaurant,italian;italian_pizza;pasta;pizza;regional
firenze,Eataly,eatalyfirenze@eataly.it,Firenze,+39 055 0153601,https://www.eataly.net/it_it/negozi/firenze,restaurant,
firenze,Edy più,info@edypiu.it,"Via Calcinaia 94, 50055 Lastra a Signa",+39 055 872 4562,https://edypiu.it/,restaurant,italian;regional
firenze,Enoteca Ristorante Fuoripiazza,info@fuoripiazza.it,"Via 1 Maggio 2, 50022 Greve in Chianti",+39 055 8546313,https://www.enotecaristorantefuoripiazza.it/en/,restaurant,italian;regional
firenze,Festa del Mugello,festadelmugello@gmail.com,"Lungarno Aldo Moro 3, 50136 Firenze",,http://festadelmugello.com,restaurant,regional;burger;chicken;ice_cream;italian;international
firenze,Gli Ostinati Osteria,info@gliostinati.it,"Corso Giuseppe Mazzini 5,  Firenze",+39 055 9544255,http://www.gliostinati.it/,restaurant,italian
firenze,Grazie Assai,firenze@grazieassai.com,"Via Pietro Carnesecchi 2r, 50137 Firenze",+39 055 0195799,https://grazieassai.com/,restaurant,italian
firenze,Il Battibecco,prenotazioni@ilbattibecco.it,"Viale Vittorio Veneto 38, 50023 Impruneta",+39 339 777 6819;0552313820,https://www.ilbattibecco.it/,restaurant,italian;regional
firenze,Jazz Bistrot,info@jazzbistrot.it,Firenze,+39 055 677391,https://www.jazzbistrot.it/,cafe,breakfast;coffee_shop;diner;tea;pizza;pastry;cake
firenze,L'imperfetto,info@ristoranteimperfetto.it,"Piazza Serristori 16, 50063 Firenze",+39 055 2692311,https://www.ristoranteimperfetto.it/,restaurant,fish;italian;pizza
firenze,La Bisegna,labisegna@gmail.com,"Via Gherardo Silvani 26 E/R, 50125 Firenze",+39 3762577929,https://www.labisegna.it/,restaurant,coffee_shop;regional;italian;cake;pasta;bistro;fine_dining;tapas;tea;diner
firenze,La Carabaccia Firenze,info@trattorialacarabaccia.com,Firenze,+39 055214782,https://www.trattorialacarabaccia.com/,restaurant,
firenze,La Carbonata,lacarbonatasrl@gmail.com,"Via Camillo Cavour 112R, 50-129 Firenze",+39 055 210095,https://www.lacarbonata.it,restaurant,italian
firenze,La Giostra,info@ristorantelagiostra.com,"Borgo Pinti 12r, 50121 Firenze",+39 05241341,https://ristorantelagiostra.com/,restaurant,italian
firenze,La Lombricaia,info@agriturismomontalbino.it,"Via Colle a Montalbino 10, 50025 Montespertoli",+39 0571 608089,http://www.agriturismomontalbino.it/index.php?ristorante_eng,restaurant,italian
firenze,La Luna,info@pizzerialaluna.it,"Via Vincenzo Gioberti 93r, 50136 Firenze",+39 055 663810,https://www.pizzerialaluna.it/,restaurant,italian;pizza
firenze,La Sosta di Pio VII,info@osterialasostadipiovii.it,"6, 50021 Barberino Val d'Elsa",+39 055 80 75 923,http://www.osterialasostadipiovii.it/,restaurant,regional;italian
firenze,Le lune,fresco@lelunefirenze.it,"Via di San Domenico 36,  Firenze",+39055570222,https://www.lelunefirenze.it/,restaurant,
firenze,Le Panche,chitiroberto@virgilio.it,Firenze,+39 055431922,https://pizzeria-le-panche.eatbu.com,restaurant,diner;pizza;regional
firenze,Le Vespe Cafè,info@levespecafe.com,"Via Ghibellina 76, 59100 Firenze",+39 055 3880062,https://www.levespecafe.com/,restaurant,breakfast;brunch;italian;canadian
firenze,Locanda Casanuova,locanda@casanuova-toscana.it,"Via San Martino Altoreggi 52,  Firenze",+39 055 9500027,www.casanuova-toscana.it,restaurant,italian;regional
firenze,Lungarno Bistrot,info@lungarnobistrot.it,"Piazza degli Scarlatti 1/r, 50123 Firenze",+39 055 2654541,http://www.lungarnobistrot.it,restaurant,italian;seafood;mediterranean
firenze,l’ Pizzacchiere,alfredo@pizzacchiere.com,"Via San Miniato 2/1, 50125 Firenze",+39 055 246 6332,https://www.pizzacchiere.com/,restaurant,italian_pizza
firenze,L’angolo del caffè,barpiagge2022@gmail.com,Firenze,+390558894687,https://langolo-delcaffe.it/,cafe,breakfast;coffee_shop
firenze,Maioli,germo43r@gmail.com,"Via dei Guicciardini 43 R,  Firenze",+39 055 214701,https://bistrotpasticceriamaioli.it/,cafe,
firenze,Miró,miroristorantepizzeria@gmail.com,"Via San Gallo 40 R,  Firenze",+39 055 7091425,https://www.ristorantemirofirenze.com/,restaurant,italian;pizza
firenze,Moya Asian Fusion Restaurant,moyaempolisrl@gmail.com,"Via Domenico Bartoloni 99, 50053 Empoli",351 566 6653,https://moyasushi.it/,restaurant,asian
firenze,Nappi's,lello21176@gmail.com,"Via Tredici Martiri 238, 50013 Campi Bisenzio",+39 3737903815,https://www.nappis.it,restaurant,chicken
firenze,Nirvana,info@nirvanaristorante.it,"via Il Prato 4/b,  Firenze",+393466381015,https://www.nirvanaristorante.it/,restaurant,italian
firenze,Okaeri,okaerifirenze@gmail.com,"Via Ugo Novelli 52, 50013 Campi Bisenzio",+39 055 614 1672,https://www.okaerifirenze.it/,restaurant,sushi
firenze,Osteria dei Centopoveri,info@centopoveri.it,"Via Palazzuolo 31r, 50123 Firenze",+39 055 218846,http://www.centopoveri.it,restaurant,italian
firenze,Osteria del Cinghiale Bianco,info@cinghialebianco.com,"Borgo San Iacopo 43r, 50125 Firenze",+39 055 215706,http://cinghialebianco.com,restaurant,italian
firenze,Osteria di Giovanni,info@osteriadigiovanni.com,"Via del Moro 22,  Firenze",+39 055 284897,https://www.osteriadigiovanni.it,restaurant,
firenze,Osteria Il Sordo,osteriailsordo@gmail.com,"Via scipione Ammirato, 42/R ,  Firenze",055670131,https://www.osteriailsordo.com/,restaurant,toscana;mediterranean
firenze,Osteria Manì,info@osteriamani.it,"Via Giovan Battista Foggini 7, 50142 Firenze",+39 055 712978,https://osteriamani.it/,restaurant,italian;pizza
firenze,Osteria Pastella,info@osteriapastella.it,"Via della Scala 17r, 50123 Firenze",+39 055 2670240,https://www.osteriapastella.it/,restaurant,italian
firenze,Osteria Pratellino,osteriapratellino@gmail.com,"Via del Pratellino 44 R, 50131 Firenze",+39 055 0203832,https://osteriapratellinofirenze.it/,restaurant,italian
firenze,Osteria Vinicolo,osteriavinicolo@gmail.com,"Piazza Bianco Bianchi 6,  Figline Valdarno",+39 3938316534,https://www.osteriavinicolo.it/,restaurant,
