nome,email,indirizzo,telefono,sito,rating,recensioni
Osteria del Gnocco Fritto,info@gnoccofrittomilano.it,"Via Pasquale Paoli, 2, 20143 Milano MI, Italia",02 5810 0216,https://www.gnoccofrittomilano.it/,4.4,3550
Officina del Riso Navigli,officinadelriso@pec.it,"Alzaia Naviglio Grande, 62, 20144 Milano MI, Italia",02 8976 6568,https://officinadelriso.com/?_gl=1*eg6ete*_up*MQ..*_gs*MQ..&gclid=CjwKCAjwup3HBhAAEiwA7euZukztCImZfpNTvqZPHXqrnsoV-paU0gM6VtGmnproqphxwcSWwYzs9RoCfqcQAvD_BwE&gbraid=0AAAAACcNFZsFgTjKJSlp8a5V8vAW2s--Z,4.4,2343
Come 'Na Vorta Pasta e Vino - Navigli,info@pastaevinoroma.it,"Ripa di Porta Ticinese, 3-5, 20143 Milano MI, Italia",02 4070 3352,https://pastaevinoroma.it/,4.4,661
Il Mannarino Navigli,navigli@ilmannarino.it,"Alzaia Naviglio Grande, 2, 20144 Milano MI, Italia",02 259 3303,https://www.ilmannarino.it/ristoranti/milano-alzaia-naviglio-grande-2/,4.7,2191
Osteria della Darsena,info@osteriadarsena.it,"Via Vigevano, 1, 20144 Milano MI, Italia",02 9153 9321,https://osteriadarsena.it/,4.4,1136
Ristorante Officina 12,stefania@officina12.it,"Alzaia Naviglio Grande, 12, 20144 Milano MI, Italia",02 8942 2261,http://www.officina12.it/officina12.html,4,2135
Sciué Navigli,solari@sciue.it,"Alzaia Naviglio Pavese, 6, 20143 Milano MI, Italia",02 5810 0299,http://www.sciue.it/,4.7,2884
Posto di Conversazione,info@osteriapostodiconversazione.com,"Alzaia Naviglio Grande, 6, 20144 Milano MI, Italia",02 9194 3999,https://osteriapostodiconversazione.it/,4.3,1169
Osteria Da Fortunata - Brera,gruppodafortunata@gmail.com,"Via Fiori Chiari, 13, 20121 Milano MI, Italia",02 3652 3774,https://www.osteriadafortunata.it/,4.2,7978
Ristorante Nabucco,info@nabucco.it,"Via Fiori Chiari, 10, 20121 Milano MI, Italia",02 860663,http://www.nabucco.it/,4.2,1975
Taverna del Borgo Antico,info@tavernadelborgoantico.it,"Via Madonnina, 27, 20121 Milano MI, Italia",02 8646 1186,http://www.tavernadelborgoantico.it/,3.9,3041
Il Cestino,info@ristoranteilcestino.it,"Via Madonnina, 27/A, 20121 Milano MI, Italia",02 8646 0146,http://www.ristoranteilcestino.it/,4.1,3037
Rosso Brera,info@rossobrera.com,"Via Marco Formentini, 7, 20121 Milano MI, Italia",02 8353 8580,http://www.rossobrera.com/,4,1070
Locanda alla Scala,info@locandaallascala.it,"Via dell'Orso, 1, 20121 Milano MI, Italia",02 869 3273,https://locandaallascala.it/,4.4,634
Salsamenteria di Parma,info@grsp.eu,"Via Ponte Vetero, 11, 20121 Milano MI, Italia",02 7209 4367,https://www.salsamenteriadiparma.com/ristoranti/milano-brera/?utm_source=GBP+&utm_medium=info+brera&utm_campaign=site,4.3,3104
Sea Signora Milano,info@seasignorarest.com,"Via Fiori Chiari, 32, 20121 Milano MI, Italia",345 283 1086,https://seasignorarest.com/,4.8,109
Trippa,info@trippamilano.it,"Via Giorgio Vasari, 1, 20135 Milano MI, Italia",327 668 7908,http://www.trippamilano.it/,4.6,1707
Trattoria Mibabbo,info@mibabbo.it,"Via Lazzaro Papi angolo, C.so Lodi, 20135 Milano MI, Italia",02 4548 8997,http://www.mibabbo.it/,4.5,1715
Dongiò,ristorantedongio@gmail.com,"Via Bernardino Corio, 3, 20135 Milano MI, Italia",349 276 1011,http://www.dongio.it/,4.4,1528
Un Sacco Bello,davidmarsili@1saccobello.it,"Via Lodovico Muratori, 50, 20135 Milano MI, Italia",02 5501 6966,http://www.unsaccobellomilano.it/,4.4,1738
Un posto a Milano,info@unpostoamilano.it,"Via Privata Cuccagna, 2/4, 20135 Milano MI, Italia",02 545 7785,http://www.unpostoamilano.it/,4,1689
Ma Che Ce Frega,info@machecefrega.it,"Corso di Porta Romana, 106, 20122 Milano MI, Italia",339 319 0062,https://www.machecefrega.it/,3.4,1354
Giulio Pane e Ojo,info@giuliopaneojo.com,"Via Lodovico Muratori, 10, 20135 Milano MI, Italia",02 545 6189,http://www.giuliopaneojo.com/,3.9,3856
Ivan & Frank,info@ivanfrank-ristorante.it,"C.so Lodi, 37/A, 20135 Milano MI, Italia",02 5410 7101,http://ivanfrank-ristorante.it/,4.2,1481
RAW restaurant,info@raw-restaurant.it,"Corso di Porta Romana, 45, 20122 Milano MI, Italia",02 4507 6348,https://raw-restaurant.it/,4.8,81
Bracio-Sicilian Bites (Porta Romana),info@bracio.it,"Via Antonio Fogazzaro, 9, 20135 Milano MI, Italia",02 551 4784,https://bracio.it/,4.1,1323
Il Cormorano - Isola,info@trattoriailcormorano.it,"Via Luigi Porro Lambertenghi, 34, 20159 Milano MI, Italia",02 6900 4383,http://www.trattoriailcormorano.it/,4.2,1716
Bela Tusa Trattoria,belatusatrattoria@gmail.com,"Via Pietro Borsieri, 26, 20159 Milano MI, Italia",02 4953 5080,https://belatusatrattoria.it/,4.7,775
Osteria dei Vecchi Sapori,info@vecchisapori.it,"Via Carmagnola, 3, 20159 Milano MI, Italia",02 668 6148,https://www.osteriavecchisapori.com/,4.2,1934
Officina del Riso Isola,officinadelriso@pec.it,"Via Vincenzo Civerchio, 5, 20159 Milano MI, Italia",02 9166 7111,https://officinadelriso.com/?_gl=1*jey55h*_up*MQ..*_gs*MQ..&gclid=CjwKCAjwup3HBhAAEiwA7euZukztCImZfpNTvqZPHXqrnsoV-paU0gM6VtGmnproqphxwcSWwYzs9RoCfqcQAvD_BwE&gbraid=0AAAAACcNFZsFgTjKJSlp8a5V8vAW2s--Z,4.5,1116
Cantine MILANO - WINE & RESTAURANT,reservation@cantinemilano.it,"Via Traù, 1, 20159 Milano MI, Italia",02 6680 2819,http://www.cantinemilano.com/,4.6,1670
Stelvio,isola@stelviomilano.it,"Via Sebenico, 14, 20124 Milano MI, Italia",02 8928 8660,https://www.stelviomilano.com/,4,1133
Isola Ristorante Milano,reservations.milan@isolarestaurant.com,"P.za Cordusio, 2, 20121 Milano MI, Italia",349 875 7718,https://www.isolarestaurant.com/milan/?l=it,4.1,72
Trattoria Bertamè,info@bertame.it,"Via Francesco Lomonaco, 13b, 20131 Milano MI, Italia",393 077 3564,http://trattoria.bertame.it/,4.4,1902
Le Nove Scodelle,info@lenovescodelle.com,"Viale Monza, 4, 20127 Milano MI, Italia",331 800 1116,https://www.lenovescodelle.com/,4.3,1987
Ristorante pizzeria 3 Fratelli,info@3fratelli.it,"Via Pietro Marocco, 12, 20120 Milano MI, Italia",02 2614 5126,http://www.3fratelli.it/,4.7,1457
PRIMA LUCE,ilknurum19.py@gmail.com,"Piazzale Loreto, 11, 20131 Milano MI, Italia",366 181 3410,https://primaluce.eatbu.com/,4.1,25
Osteria Brunello,info@osteriabrunello.it,"Corso Garibaldi, 117, 20121 Milano MI, Italia",338 617 5118,http://www.osteriabrunello.it/,4.4,2630
La Vecchia Lira,info@osteriavecchialira.it,"Largo la Foppa, 5, 20121 Milano MI, Italia",02 659 9136,http://www.osteriavecchialira.it/,4.3,1172
Taverna Trastevere Milano,prenotazioni@tavernatrastevere.com,"Via Statuto, 16, 20121 Milano MI, Italia",02 3823 7473,https://www.tavernatrastevere.com/,4.7,660
Pescetto,amministrazione.diellegroup@gmail.com,"Via Alessandro Volta, 9, 20121 Milano MI, Italia",02 3675 4184,https://www.ilpescetto.it/,4.4,2805
Carnissage Milano - Ristorante di carne a Milano,events@carnissage.com,"Via Varese, 4, 20121 Milano MI, Italia",02 2222 0081,http://www.carnissage.com/,4.8,244
All'Antico Vinaio,avhq@allanticovinaio.com,"Via della Moscova, 20121 Milano MI, Italia",02 6291 2835,https://www.allanticovinaio.com/,4.4,567
Cactus Milano,info@cactusmilano.it,"Via Varese, 4, 20121 Milano MI, Italia",347 054 4982,https://cactusmilano.it/,4.5,430
Al Baretto San Marco,albaretto@albarettosanmarco.it,"Via Marsala, 2, 20121 Milano MI, Italia",334 352 9882,http://www.albarettosanmarco.com/,4.8,1638
Ristorante Eggs Milano,info@eggsmilano.com,"Via Solferino, 35, 20121 Milano MI, Italia",02 0997 2435,https://www.eggsristorante.com/,4.5,175
Pinkerì Porta Venezia,info@pinkeri.it,"Via Lazzaro Palazzi, 2, 20124 Milano MI, Italia",02 3823 2214,https://www.pinkeri.it/,4.9,44
L'Angolo di Casa,info@angolodicasa.it,"Viale Piave, 17, 20129 Milano MI, Italia",02 7601 6221,http://www.angolodicasa.it/,4.4,692
Røst,info@rostmilano.com,"Via Melzo, 3, 20129 Milano MI, Italia",344 053 8044,https://www.rostmilano.com/,4.6,578
Piccola Cucina,piccolacucina@gmail.com,"Viale Piave, 17, 20129 Milano MI, Italia",02 7601 2860,http://www.piccolacucina.it/,4.7,298
ToscaNino Milano,prenotazioni.rinascentefirenze@toscanino.com,"Via Melzo, angolo, Via Lambro, 20129 Milano MI, Italia",02 7428 1354,http://www.toscanino.com/,4.3,872
Calaluna,calalunaosteria@gmail.com,"Viale Piave, 38, 20129 Milano MI, Italia",02 2940 1982,https://www.calalunamilano.it/,4.4,952
RISTORANTE “Dagli Amici di Patty”,m.arpini67@gmail.com,"Via Rosolino Pilo, 7, 20129 Milano MI, Italia",02 8703 9557,https://dagli-amici-di-patty.eatbu.com/,4.6,350
Ristorante Da Oscar (Porta Venezia),info@ristorantedaoscar.it,"Via Lazzaro Palazzi, 4, 20124 Milano MI, Italia",02 2951 8806,https://www.ristorantedaoscar.it/,4.3,3535
Osteria Afrodite,afrodite@osteriaafrodite.it,"Via Donatello, 9, 20131 Milano MI, Italia",333 806 1018,http://www.osteriaafrodite.com/,4.9,629
Belluccio'S,bellucciosmilano@gmail.com,"Via Beato Angelico, 27, 20133 Milano MI, Italia",02 749 0993,http://www.belluccio.it/,4.5,786
Le Brasier - Miglior steakhouse e BBQ di Milano,info@lebrasier.it,"Viale Abruzzi, 23, 20131 Milano MI, Italia",02 3663 0555,https://lebrasier.it/,4.7,1143
Ginmi,info.ginmi@gmail.com,"V. Giovanni Paisiello, 7, 20131 Milano MI, Italia",02 2951 6394,https://ristoranteginmi.com/,4.6,877
Osteria al Piccolo Molo,minageorge1984@gmail.com,"Via Antonio Grossich, 2, 20131 Milano MI, Italia",02 3668 6452,https://osteriaalpiccolomolo.eatbu.com/?lang=it,4.5,732
Ristorante Imperiale,imperiale30@yahoo.it,"Via Plinio Caio Secondo, 30, 20129 Milano MI, Italia",02 2951 3532,https://www.ristoranteimperialemilano.com/,4.4,438
Fininfondo,info@fininfondo.it,"Ripa di Porta Ticinese, 69, 20143 Milano MI, Italia",376 249 6014,http://www.fininfondo.it/,4.4,600
Ishi,info@ishifusion.it,"Corso di Porta Ticinese, 96, 20123 Milano MI, Italia",366 542 6215,http://ishifusion.it/,4.3,1454
Chunk Milano,info@chunkmilano.it,"Ripa di Porta Ticinese, 55, 20143 Milano MI, Italia",02 3599 0549,http://www.chunkmilano.it/,4.9,1972
Trapizzino Milano | Navigli,info@trapizzino.it,"Ripa di Porta Ticinese, 2, 20143 Milano MI, Italia",02 9157 0928,https://www.trapizzino.it/trapizzino/trapizzino-milano-navigli/?utm_source=googlemaps&utm_campaign=Local&utm_medium=organic&utm_content=link_home_gmaps,4.5,542
El Porteño Darsena,booking@porteno.it,"V.le Gian Galeazzo, 25, 20136 Milano MI, Italia",02 5843 7593,https://www.elporteno.it/location/milano/el-porteno-darsena/,4.4,2030
Zio Pesce,info@sevengroup.it,"Via Cicco Simonetta, 8, 20123 Milano MI, Italia",02 5810 9145,https://www.ziopesce.com/,4.5,1377
Dumpling mywéi bar,dumpling@myweibar.it,"Corso di Porta Ticinese, 14, 20123 Milano MI, Italia",373 753 8973,http://myweibar.it/,4.7,108
Osteria del Binari,info@osteriadelbinari.it,"Via Tortona, 1, 20144 Milano MI, Italia",02 8940 9428,http://osteriadelbinari.it/,4.3,4585
La Scaletta,info@lascalettarestaurant.com,"Piazzale Stazione Genova, 3, 20144 Milano MI, Italia",02 4398 6316,http://www.lascalettarestaurant.com/,4.5,641
Belle Donne Bistrot,info@belledonnebistrot.com,"Via Tortona, 28, 20144 Milano MI, Italia",02 5810 9894,https://www.belledonnebistrot.com/,4.5,1945
BLUES CANAL,info@bluescanalmilano.com,"Via Casale, 7, 20144 Milano MI, Italia",02 836 0799,http://www.bluescanalmilano.com/,4.5,5728
Osteria Via Prè,info@viapre.it,"Via Casale, 4, 20144 Milano MI, Italia",366 159 7478,http://www.viapre.it/,4,479
Al Porto Ristorante,info@alportomilano.it,"Piazzale Antonio Cantore, 13, 20144 Milano MI, Italia",02 8940 7425,https://alportomilano.it/,4.6,1053
142 Restaurant & 142 Café Bistrot,info@142.restaurant,"Corso Cristoforo Colombo, 6, 20144 Milano MI, Italia",349 856 1278,http://www.142.restaurant/,4.7,283
Bussarakham,ristorantebussarakham@gmail.com,"Via Valenza, 13, 20144 Milano MI, Italia",02 8942 2415,http://www.bussarakham.com/,4.1,1589
Da Noi In,info@magnapars.it,"Via Vincenzo Forcella, 6, 20144 Milano MI, Italia",02 837 8111,https://www.magnapars.it/ristorante/,4.4,99
Osteria del Gambero Rosso,info@algambero.com,"Viale Pasubio, 8, 20154 Milano MI, Italia",02 657 1208,http://www.algambero.com/,4.3,1429
The FisherMan Pasta,info@thefisherman.it,"Corso Garibaldi, 12, 20121 Milano MI, Italia",02 7200 4524,https://www.thefisherman.it/,4.4,1803
Terrazza Calabritto Milano,milano@terrazzacalabritto.it,"Viale Monte Grappa, 7, 20124 Milano MI, Italia",02 6379 3923,http://milano.terrazzacalabritto.it/,4.5,460
Eataly,eatalysmeraldo@eataly.it,"P.za XXV Aprile, 10, 20121 Milano MI, Italia",800 975 880,https://www.eataly.net/it_it/negozi/milano-smeraldo?utm_source=gmb&utm_medium=listing&utm_campaign=organic-search,4.2,14584
Ristorante Milano da Pierino,info@milanodapierino.it,"Viale Ugo Bassi, 7, 44029 Porto Garibaldi FE, Italia",0533 327179,http://www.milanodapierino.it/,4.4,859
Primè,prime@ristoranteprime.it,"Viale Francesco Crispi, 2, 20154 Milano MI, Italia",02 6556 0923,http://www.ristoranteprime.it/,4.4,1351
Gino Sorbillo Lievito Madre,info@sorbillo.it,"Largo Corsia dei Servi, 11, 20122 Milano MI, Italia",02 4537 5930,http://www.sorbillo.it/,4.1,10129
Fratelli Coppola - Milano,info@fratellicoppola.net,"Via Alfredo Cappellini, 23, 20124 Milano MI, Italia",02 6698 5006,https://www.fratellicoppola.net/fratelli-coppola-ristorante-pizzeria-napoletana-milano/,4.5,3580
Pizzeria Positano Milano - Colonne di San Lorenzo,carmine@pizzeriapositano.eu,"Via S. Vito, 5, 20123 Milano MI, Italia",334 715 8836,https://pizzeriapositano.eu/milano-colonne-di-san-lorenzo/,4.6,1709
MATERIA PIZZERIA - MILANO CENTRO,info@materiapizzeria.com,"Via del Torchio, 1, 20123 Milano MI, Italia",02 4971 4985,https://materiapizzeria.com/,4.7,1691
Spontini,info@spontinimilano.com,"Via Santa Radegonda, 11, 20121 Milano MI, Italia",02 8909 2621,http://www.spontinimilano.com/pizzerie/MILANO-DUOMO/,4.2,10773
Gino Sorbillo Pizza Gourmand,info@sorbillo.it,"Via Ugo Foscolo, 1, 20121 Milano MI, Italia",02 8050 2300,http://www.sorbillo.it/,4.1,5052
Antica Pizza Fritta da Zia Esterina,info@sorbillo.it,"Via Agnello, 19, 20121 Milano MI, Italia",02 4549 1628,http://www.sorbillo.it/,4.3,3800
Casa Sorbillo Duomo,info@sorbillo.it,"Via Agnello, 18, 20121 Milano MI, Italia",02 3651 6638,http://www.sorbillo.it/,4,1619
Crazy Pizza,info@crazypizza.com,"Via Varese, 1, 20121 Milano MI, Italia",02 5407 6604,https://crazypizza.com/milan/,4.2,5392
Rossini,rossini@rossiniristorante.it,"Via dei Piatti, 4, 20123 Milano MI, Italia",02 4959 4646,http://www.rossiniristorante.it/,4.5,2667
I 12 Gatti Pizzeria,eventi.idodicigatti@galleriavikmilano.com,"Galleria Vittorio Emanuele II, 11, 20121 Milano MI, Italia",346 845 1420,https://it.idodicigatti.it/,4.5,1777
Pizzeria Navigli Pizza Tua Qui Milano,faraonesaid4@gmail.com,"Via Ascanio Sforza, 29, 20136 Milano MI, Italia",388 851 4388,https://www.pizzerianaviglimilano.com/,4.8,528
Berberè Pizzeria Navigli,info@berbere.it,"Via Vigevano, 8, 20144 Milano MI, Italia",02 3675 8428,https://www.berberepizza.it/berbere-milano-navigli/,4.4,2100
Fabbrica Pizzeria,fabbricapizzeriamilano@gmail.com,"Alzaia Naviglio Grande, 70, 20144 Milano MI, Italia",02 835 7670,https://www.fabbricapizzeriamilano.com/,3.9,3855
La pizzeria Tradizionale,crm-srl@libero.it,"Ripa di Porta Ticinese, 7, 20144 Milano MI, Italia",02 839 5133,http://www.pizzeriatradizionale.com/,4.1,1885
Woodstock dal 1969,info@woodstock-milano.com,"Via Lodovico Il Moro, 3, 20143 Milano MI, Italia",02 3656 4015,http://www.woodstock-milano.com/,4.2,2549
Pizzacoteca di Brera,info@pizzacoteca.it,"Via Brera, 29, 20121 Milano MI, Italia",02 7200 0563,http://www.pizzacoteca.it/,3.9,840
Obicà Mozzarella Bar - Cusani,webmarketing@obica.com,"Via Cusani, 1, 20121 Milano MI, Italia",02 4941 6936,http://www.obica.com/,4.1,1309
Premiata Trattoria Arlati dal 1936,info@trattoriaarlati.com,"Via Alberto Nota, 47, 20126 Milano MI, Italia",02 643 3327,https://trattoriaarlati.it/,4.6,2389
Trattoria della Gloria,tommaso@trattoriadellagloria.com,"Via Mario Pichi, 5, 20143 Milano MI, Italia",02 4547 4710,https://www.trattoriadellagloria.com/,4.5,788
Antica Osteria Il Ronchettino,info@ronchettino.it,"Via Lelio Basso, 9, 20142 Milano MI, Italia",342 564 3955,http://www.ronchettino.it/,4.4,1915
Trattoria Milanese dal 1997| Famiglia Mita,prenotazioni@trattoriamilanesedal1997.com,"Via Carlo Ilarione Petitti, 11, 20149 Milano MI, Italia",02 3675 1580,https://www.trattoriamilanesedal1997.com/,4.5,154
Antica Trattoria della Pesa,anticatrattoriadellapesa1880@gmail.com,"Viale Pasubio, 10, 20154 Milano MI, Italia",02 655 5741,http://www.anticatrattoriadellapesa.com/,4.2,1421
Osteria Mamma Rosa-Ristorante pesce Milano,info@osteriamammarosa.it,"P.zza Cincinnato, 4, 20124 Milano MI, Italia",02 2952 2076,http://www.osteriamammarosa.it/,4.4,4773
Osteria Conchetta,info@osteriaconchetta.it,"Via Conchetta, 8, 20136 Milano MI, Italia",02 837 2917,http://www.osteriaconchetta.it/,4.5,2689
Da Pisacco - Trattoria Italiana,info@trattoriadapisacco.com,"Via Carlo Pisacane, 47, 20129 Milano MI, Italia",02 8076 6306,https://www.trattoriadapisacco.it/,4.8,91
Galeria Antica Trattoria Milano,info@galeriaanticatrattoria.it,"Via Arcangelo Corelli, 27, 20134 Milano MI, Italia",327 000 5385,https://www.galeriaanticatrattoria.it/,4.3,1575
Osteria Fiaschetto | Ristorante a Milano,osteriafiaschetto@gmail.com,"Via Pioppette, 3, 20123 Milano MI, Italia",331 363 4603,http://www.osteriafiaschetto.com/,4.7,590
Osteria Serafina,info@osteriaserafina.it,"Via Luigi Sacco, 9, 20149 Milano MI, Italia",389 929 9450,http://www.osteriaserafina.com/,4.7,2857
Osteria Cornalia,info@osteriacornalia.it,"Via Emilio Cornalia, 16, 20124 Milano MI, Italia",02 8969 7710,https://osteriacornalia.it/,4.6,425
Osteria italiana,info@osteriaitaliana.eu,"Via Napo Torriani, 22, 20124 Milano MI, Italia",02 670 4188,http://www.osteriaitaliana.eu/,4.1,4162
Antica Osteria del Mare,info@anticaosteriadelmare.it,"Via Ascanio Sforza, 105, 20141 Milano MI, Italia",02 8954 6534,http://www.anticaosteriadelmare.it/,4.4,983
CANTINE A MARE - Ristorante di Pesce,reservation@cantinemilano.it,"Via Carlo Goldoni, 58, 20129 Milano MI, Italia",02 8969 6018,https://cantinemilano.com/?site_source_name=gmbctam,4.8,391
Noi Pesce,gruppofl@legalmail.it,"Piazzale Damiano Chiesa, 2, 20149 Milano MI, Italia",02 4953 0729,http://www.noipesce.it/,4.4,1291
Marea Seafood & Beverage,info@mareamilano.it,"Via Papa Gregorio XIV, 16, 20123 Milano MI, Italia",02 8457 0315,http://www.mareamilano.it/,4.8,476
Vento di Sardegna,milano@ristoranteventodisardegna.it,"Via Edmondo de Amicis, 44, 20123 Milano MI, Italia",02 8909 3710,http://www.ristoranteventodisardegna.it/milano,4.5,1654
A'Riccione,lara@ariccioneterrazza12.it,"Via Torquato Taramelli, 70, 20124 Milano MI, Italia",02 683807,https://www.ariccionemilano.it/,4.5,1796
Zio Pesce,info@sevengroup.it,"Via Andrea Maffei, 12, 20135 Milano MI, Italia",02 4979 4967,https://www.ziopesce.com/,4.3,1396
Beef Club Milano - Miglior Ristorante di Carne alla Brace della città,INFO@BEEFCLUBMILANO.IT,"Via Giovanni Boccaccio, 15, 20123 Milano MI, Italia",02 5182 3951,http://www.beefclubmilano.it/,4.7,1103
PitBeef Milano,info@pitbeefmilano.com,"Via Gaetano de Castillia, 7, 20124 Milano MI, Italia",02 8706 3435,http://pitbeefmilano.com/,4.9,753
Don Juan,RISTDONJUAN@HOTMAIL.COM,"Via Altaguardia, Porta Romana, 2, 20135 Milano MI, Italia",02 5843 0805,http://www.ristorantedonjuan.com/,4.5,1604
Ribot,info@maisontournier.com,"Via Marco Cremosano, 41, 20148 Milano MI, Italia",02 3300 1646,http://www.ribotmilano.it/,4.6,5021
Via Pasteria,info@viapasteria.com,"Corso Italia, 16, 20122 Milano MI, Italia",02 8905 3384,http://www.viapasteria.com/,4.7,7227
Viaggi nel Gusto,info@viagginelgusto.com,"Via Edmondo de Amicis, 24, 20123 Milano MI, Italia",02 4775 5531,https://www.viagginelgusto.it/,4.6,826
Ristorante San Carlo,info@sancarloaldue.com,"Piazza S. Carlo, 2, 20122 Milano MI, Italia",02 3792 0389,https://sancarloaldue.com/,4.5,458
